Country , region , population , area , density 
Nauru,Oceania,13287,21,632.0
Nepal,Asia,28287147,147181,192.0
Netherlands,Europe,16491461,41526,397.0
Netherlands Antilles,Latin amer. & carib,221736,960,230.0
New Caledonia,Oceania,219246,19060,11.0
New Zealand,Oceania,4076140,268680,15.0
Nicaragua,Latin amer. & carib,5570129,129494,43.0
Niger,Africa,12525094,1267000,9.0
Nigeria,Africa,131859731,923768,142.0
Norway,Europe,4610820,323802,14.0
Oman,Near east,3102229,212460,14.0
Pakistan,Asia,165803560,803940,206.0
Palau,Oceania,20579,458,44.0
Panama,Latin amer. & carib,3191319,78200,40.0
Papua New Guinea,Oceania,5670544,462840,12.0
Paraguay,Latin amer. & carib,6506464,406750,15.0
Peru,Latin amer. & carib,28302603,1285220,22.0
Philippines,Asia,89468677,300000,298.0
Poland,Europe,38536869,312685,123.0
Portugal,Europe,10605870,92391,114.0
Puerto Rico,Latin amer. & carib,3927188,13790,284.0
Qatar,Near east,885359,11437,77.0
Reunion,Africa,787584,2517,312.0
Romania,Europe,22303552,237500,93.0
Russia,Europe,142893540,17075200,8.0
Rwanda,Africa,8648248,26338,328.0
Saint Helena,Africa,7502,413,18.0
Saint Kitts & Nevis,Latin amer. & carib,39129,261,149.0
Saint Lucia,Latin amer. & carib,168458,616,273.0
Saint Vincent and the Grenadines,Latin amer. & carib,117848,389,302.0
Samoa,Oceania,176908,2944,60.0
San Marino,Europe,29251,61,479.0
Sao Tome & Principe,Africa,193413,1001,193.0
Saudi Arabia,Near east,27019731,1960582,13.0
Senegal,Africa,11987121,196190,61.0
Serbia,Europe,9396411,88361,106.0
Seychelles,Africa,81541,455,179.0
Sierra Leone,Africa,6005250,71740,83.0
Singapore,Asia,4492150,693,6482.0
Slovakia,Europe,5439448,48845,111.0
Slovenia,Europe,2010347,20273,99.0
Solomon Islands,Oceania,552438,28450,19.0
Somalia,Africa,8863338,637657,13.0
South Africa,Africa,44187637,1219912,36.0
Spain,Europe,40397842,504782,80.0
Sri Lanka,Asia,20222240,65610,308.0
St Pierre & Miquelon,Northern america,7026,242,29.0
Sudan,Africa,41236378,2505810,16.0
Suriname,Latin amer. & carib,439117,163270,2.0
Swaziland,Africa,1136334,17363,65.0
Sweden,Europe,9016596,449964,20.0
Switzerland,Europe,7523934,41290,182.0
Syria,Near east,18881361,185180,101.0
Taiwan,Asia,23036087,35980,640.0
Tajikistan,Europe,7320815,143100,51.0
Tanzania,Africa,37445392,945087,39.0
Thailand,Asia,64631595,514000,125.0
Togo,Africa,5548702,56785,97.0
Tonga,Oceania,114689,748,153.0
Trinidad & Tobago,Latin amer. & carib,1065842,5128,207.0
Tunisia,Africa,10175014,163610,62.0
Turkey,Near east,70413958,780580,90.0
Turkmenistan,Europe,5042920,488100,10.0
Turks & Caicos Is,Latin amer. & carib,21152,430,49.0
Tuvalu,Oceania,11810,26,454.0
Uganda,Africa,28195754,236040,119.0
Ukraine,Europe,46710816,603700,77.0
United Arab Emirates,Near east,2602713,82880,31.0
United Kingdom,Europe,60609153,244820,247.0
United States,Northern america,298444215,9631420,30.0
Uruguay,Latin amer. & carib,3431932,176220,19.0
Uzbekistan,Europe,27307134,447400,61.0
Vanuatu,Oceania,208869,12200,17.0
Venezuela,Latin amer. & carib,25730435,912050,28.0
Vietnam,Asia,84402966,329560,256.0
Virgin Islands,Latin amer. & carib,108605,1910,56.0
Wallis and Futuna,Oceania,16025,274,58.0
West Bank,Near east,2460492,5860,419.0
Western Sahara,Africa,273008,266000,1.0
Yemen,Near east,21456188,527970,40.0
Zambia,Africa,11502010,752614,15.0
Zimbabwe,Africa,12236805,390580,31.0
